date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-04-14,Phatthalung Rice research Center,7.567,100.131,14,4,2015,0,25.9,29.6,28.0,24.2,80.08,15.6,124.88,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-15,Phatthalung Rice research Center,7.567,100.131,15,4,2015,0,25.0,27.0,25.9,24.1,89.77,16.9,70.75,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-16,Phatthalung Rice research Center,7.567,100.131,16,4,2015,0,27.9,33.1,31.6,24.2,65.74,23.2,75.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-17,Phatthalung Rice research Center,7.567,100.131,17,4,2015,0,27.4,32.9,30.8,24.9,71.49,10.3,64.17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-18,Phatthalung Rice research Center,7.567,100.131,18,4,2015,0,27.0,29.3,28.2,24.2,79.41,5.8,136.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-19,Phatthalung Rice research Center,7.567,100.131,19,4,2015,0,27.9,33.2,31.5,24.6,67.63,14.7,155.13,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-20,Phatthalung Rice research Center,7.567,100.131,20,4,2015,0,26.9,32.4,30.0,24.2,71.77,6.6,209.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-21,Phatthalung Rice research Center,7.567,100.131,21,4,2015,0,28.3,35.3,33.0,25.0,63.89,14.8,197.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-22,Phatthalung Rice research Center,7.567,100.131,22,4,2015,0,27.9,33.6,31.2,25.6,72.72,9.6,157.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-23,Phatthalung Rice research Center,7.567,100.131,23,4,2015,0,26.0,28.0,27.0,24.8,87.78,7.8,192.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
