province_th,province_en,lat,lon,month,area_rai,year,crop_season,month_num,date
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,187,2018,in_season,7,2018-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,1278,2018,in_season,8,2018-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,745,2018,in_season,9,2018-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2018,in_season,10,2018-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2018,in_season,11,2018-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2018,in_season,12,2018-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2019,in_season,1,2019-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,0,2019,in_season,2,2019-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,0,2019,in_season,3,2019-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2019,in_season,4,2019-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2019,in_season,5,2019-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2019,in_season,6,2019-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,187,2019,in_season,7,2019-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,1278,2019,in_season,8,2019-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,745,2019,in_season,9,2019-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2019,in_season,10,2019-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2019,in_season,11,2019-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2019,in_season,12,2019-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2015,off_season,1,2015-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,242,2015,off_season,2,2015-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,188,2015,off_season,3,2015-03-01
